Date,Close,Open,Volume
2025-05-20 09:00:00,5360.0,5360.0,29.0
2025-05-20 09:01:00,5340.0,5360.0,31.0
2025-05-20 09:02:00,5340.0,5360.0,31.0
2025-05-20 09:03:00,5350.0,5360.0,53.0
2025-05-20 09:04:00,5350.0,5360.0,53.0
2025-05-20 09:05:00,5350.0,5360.0,54.0
2025-05-20 09:06:00,5350.0,5360.0,55.0
2025-05-20 09:07:00,5350.0,5360.0,55.0
2025-05-20 09:08:00,5350.0,5360.0,55.0
2025-05-20 09:09:00,5350.0,5360.0,56.0
2025-05-20 09:10:00,5350.0,5360.0,56.0
2025-05-20 09:11:00,5350.0,5360.0,56.0
2025-05-20 09:12:00,5350.0,5360.0,56.0
2025-05-20 09:13:00,5330.0,5360.0,61.0
2025-05-20 09:14:00,5330.0,5360.0,61.0
2025-05-20 09:15:00,5330.0,5360.0,61.0
2025-05-20 09:16:00,5330.0,5360.0,61.0
2025-05-20 09:17:00,5320.0,5360.0,80.0
2025-05-20 09:18:00,5320.0,5360.0,80.0
2025-05-20 09:19:00,5320.0,5360.0,80.0
2025-05-20 09:20:00,5320.0,5360.0,80.0
2025-05-20 09:21:00,5320.0,5360.0,80.0
2025-05-20 09:22:00,5320.0,5360.0,80.0
2025-05-20 09:23:00,5320.0,5360.0,80.0
2025-05-20 09:24:00,5320.0,5360.0,80.0
2025-05-20 09:25:00,5320.0,5360.0,80.0
2025-05-20 09:26:00,5320.0,5360.0,80.0
2025-05-20 09:27:00,5320.0,5360.0,80.0
2025-05-20 09:28:00,5320.0,5360.0,80.0
2025-05-20 09:29:00,5310.0,5360.0,104.0
2025-05-20 09:30:00,5310.0,5360.0,120.0
2025-05-20 09:31:00,5310.0,5360.0,120.0
2025-05-20 09:32:00,5310.0,5360.0,126.0
2025-05-20 09:33:00,5310.0,5360.0,127.0
2025-05-20 09:34:00,5320.0,5360.0,137.0
2025-05-20 09:35:00,5320.0,5360.0,137.0
2025-05-20 09:36:00,5320.0,5360.0,137.0
2025-05-20 09:37:00,5320.0,5360.0,137.0
2025-05-20 09:38:00,5320.0,5360.0,137.0
