,datetime,pnl_sum,return
77,2025-05-21 09:50:00,1598.2175400600554,0.00015982175400600554
78,2025-05-21 09:55:00,16560.203603787257,0.0016560203603787256
79,2025-05-21 10:00:00,4799.8203460407285,0.00047998203460407286
80,2025-05-21 10:05:00,28608.045969447834,0.0028608045969447833
81,2025-05-21 10:10:00,2199.524793462784,0.00021995247934627842
82,2025-05-21 10:15:00,26948.03998587819,0.0026948039985878187
83,2025-05-21 10:20:00,2600.0,0.00026
84,2025-05-21 10:25:00,38968.54084117633,0.003896854084117633
85,2025-05-21 10:30:00,3799.822599892809,0.0003799822599892809
86,2025-05-21 10:35:00,29714.67240116963,0.002971467240116963
87,2025-05-21 10:40:00,2299.80986109864,0.00022998098610986398
89,2025-05-21 10:50:00,-1900.763071554484,-0.0001900763071554484
90,2025-05-21 10:55:00,46598.568585822184,0.004659856858582219
91,2025-05-21 11:00:00,-2400.173148939163,-0.0002400173148939163
93,2025-05-21 11:10:00,-4300.122164847077,-0.0004300122164847077
95,2025-05-21 11:20:00,-6100.227893708978,-0.0006100227893708977
96,2025-05-21 11:25:00,42553.081280786595,0.00425530812807866
97,2025-05-21 11:30:00,-6700.024662121007,-0.0006700024662121007
99,2025-05-21 12:35:00,-7000.389963588413,-0.0007000389963588413
101,2025-05-21 12:45:00,-6200.1006388563255,-0.0006200100638856325
103,2025-05-21 12:55:00,-5600.021248401617,-0.0005600021248401617
105,2025-05-21 13:05:00,-3100.0206814882667,-0.0003100020681488267
107,2025-05-21 13:15:00,-1100.1953711158126,-0.00011001953711158126
109,2025-05-21 13:25:00,-2700.099583852095,-0.0002700099583852095
111,2025-05-21 13:35:00,-3000.061740302952,-0.0003000061740302952
113,2025-05-21 13:45:00,299.86049580297004,2.9986049580297005e-05
115,2025-05-21 13:55:00,2599.963403106355,0.0002599963403106355
117,2025-05-21 14:05:00,2400.0,0.00024
119,2025-05-21 14:15:00,3399.8510568959955,0.00033998510568959955
121,2025-05-21 14:25:00,3599.928745051453,0.0003599928745051453
123,2025-05-21 14:35:00,3499.821615314987,0.0003499821615314987
125,2025-05-21 14:45:00,4899.965267833613,0.0004899965267833613
127,2025-05-21 14:55:00,5799.983905198149,0.0005799983905198149
129,2025-05-21 15:05:00,8099.8400976947905,0.0008099840097694791
131,2025-05-21 15:15:00,10999.784209117452,0.001099978420911745
133,2025-05-21 15:25:00,12099.912319269366,0.0012099912319269365
135,2025-05-22 09:00:00,29688.199675248143,0.0029688199675248143
136,2025-05-22 09:05:00,47244.28436882829,0.004724428436882829
137,2025-05-22 09:10:00,3049.2623021754985,0.00030492623021754984
138,2025-05-22 09:15:00,3627.8085659800945,0.0003627808565980095
139,2025-05-22 09:20:00,5948.486757246537,0.0005948486757246538
140,2025-05-22 09:25:00,244.2762039234658,2.442762039234658e-05
141,2025-05-22 09:30:00,12398.11016839532,0.001239811016839532
142,2025-05-22 09:35:00,8801.641541250552,0.0008801641541250552
143,2025-05-22 09:40:00,2099.1868729827384,0.00020991868729827384
145,2025-05-22 09:50:00,548.6817460712393,5.4868174607123936e-05
147,2025-05-22 10:00:00,-2050.338211975919,-0.0002050338211975919
149,2025-05-22 10:10:00,-3600.555100847003,-0.0003600555100847003
150,2025-05-22 10:15:00,-2752.8850046341545,-0.00027528850046341544
151,2025-05-22 10:20:00,1999.5600264072402,0.00019995600264072403
152,2025-05-22 10:25:00,-14019.098529509156,-0.0014019098529509156
153,2025-05-22 10:30:00,-500.35002219063335,-5.003500221906334e-05
154,2025-05-22 10:35:00,-6487.800769192506,-0.0006487800769192505
155,2025-05-22 10:40:00,-50.422824821806216,-5.042282482180622e-06
