,5,15,20,30,60
30,0.32789381418001445,-9.969217948415439,-6.870821582563911,-7.251855271951326,-10.720548193120633
40,-7.075194902758547,-7.437610337177207,-6.853814755298368,-7.3642247351207315,-5.942924721982177
50,-6.994705019609856,-7.867719954483559,-6.43490986812607,-8.100014265599482,-6.257427703907238
60,-7.4621772249577605,-4.242477113418325,-5.0365784285357345,-6.371189374427194,-4.261008067360416
70,-5.661067919725697,-6.008163519092784,-1.942013424122842,-3.358876344190758,-0.5965020868636159
80,-4.678820282830545,-6.378977398507405,-2.700758497090368,-2.4890093909644873,-1.4734222780031416
