Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,4914.0,5001.0,4898.0,4983.0,3644500,,,,,,,,,,,,,,,,,,,
2025-04-02,4910.0,4919.0,4839.0,4880.0,3068800,,,,,,,,,,,,,,,,,,,
2025-04-03,4637.0,4794.0,4577.0,4750.0,7925500,,,,,,,,,,,,,,,,,,,
2025-04-04,4545.0,4573.0,4394.0,4500.0,8961500,,,,,,,,,,,,,,,,,,,
2025-04-07,4239.0,4385.0,4133.0,4265.0,13349300,4649.0,,,,,,,,,,,,7389920.0,,,,,,
2025-04-08,4482.0,4499.0,4382.0,4400.0,6556200,4562.6,,,,,,,,,,,,7972260.0,,,,,,
2025-04-09,4334.0,4424.0,4261.0,4420.0,7274000,4447.4,,,,,,,,,,,,8813300.0,,,,,,
2025-04-10,4643.0,4757.0,4570.0,4750.0,5668100,4448.6,,,,,,,,,,,,8361820.0,,,,,,
2025-04-11,4600.0,4628.0,4444.0,4467.0,4617400,4459.6,,,,,,,,,,,,7493000.0,,,,,,
2025-04-14,4550.0,4632.0,4550.0,4620.0,3258700,4521.8,,,,,,,,,,,,5474880.0,,,,,37.60217983651226,
2025-04-15,4559.0,4626.0,4559.0,4580.0,2768900,4537.2,,,,,,,,,,,,4717420.0,,,,,38.02959830866808,
2025-04-16,4412.0,4564.0,4395.0,4550.0,3639300,4552.8,,,,,,,,,,,,3990480.0,,,,,33.7780615358615,
2025-04-17,4442.0,4456.0,4387.0,4403.0,2677500,4512.6,,,,,,,,,,,,3392360.0,,,,,35.435265686110725,
2025-04-18,4558.0,4578.0,4480.0,4488.0,3820700,4504.2,,,,,,,,,,,,3233020.0,,,,41.25464300453983,41.77370762712958,
2025-04-21,4458.0,4519.0,4402.0,4490.0,3803800,4485.8,4552.2,,,,,,,,,,,3342040.0,,,,38.44732308495965,38.14219648760839,37.80748663101605
2025-04-22,4476.0,4500.0,4397.0,4422.0,3967900,4469.2,4523.0,,,,,,,,,,,3581840.0,,,,48.1914460670648,39.21229832285283,38.445566321960754
2025-04-23,4594.0,4594.0,4528.0,4546.0,3799700,4505.6,4501.933333333333,,,,,,,,,,,3613920.0,,,,65.15900587920898,46.09026174741651,42.602954145908406
2025-04-24,4688.0,4722.0,4655.0,4667.0,4206400,4554.8,4505.333333333333,,,,,,,,,,,3919700.0,,,,93.10815886485358,51.05348989655707,45.74649788155117
2025-04-25,4792.0,4792.0,4733.0,4742.0,4070300,4601.6,4521.8,,,,,,,,,,,3969620.0,,,,166.1371563125188,56.085723112732325,49.06998456817807
2025-04-28,4866.0,4897.0,4790.0,4799.0,4691500,4683.2,4563.6,,,,,,,,,,,4147160.0,,,,157.88378804241984,59.42497178152058,51.35348432071254
2025-04-30,4650.0,4913.0,4372.0,4897.0,16062300,4718.0,4574.8,,,,,,,,,,,6566040.0,,,,113.66888134729061,47.55141082270582,45.009807733786516
2025-05-01,4617.0,4666.0,4571.0,4630.0,5486800,4722.6,4593.666666666667,,,,,,,,,,,6903460.0,,,,81.37858268485392,45.97262219623748,44.11323627378685
2025-05-02,4662.0,4704.0,4621.0,4625.0,5163300,4717.4,4594.933333333333,,,,,,,,,,,7094840.0,,,,109.0394376591041,48.59110627179728,45.70159318346755
2025-05-07,4679.0,4719.0,4626.0,4660.0,4558800,4694.8,4600.2,,,,,,,,,,,7192540.0,,,,137.0196121715496,49.62865505239487,46.32225423842827
2025-05-08,4892.0,4926.0,4570.0,4700.0,13902300,4700.0,4623.0,4607.96,,4778.803432416934,4607.96,4437.116567583066,4949.646864833868,4266.273135166132,,,,9034700.0,5877740.0,,,175.42097529680396,60.78467513893503,53.494956856895556
2025-05-09,4832.0,4947.0,4812.0,4870.0,5558500,4736.4,4641.2,4604.68,,4770.324370867226,4604.68,4439.035629132774,4935.968741734452,4273.3912582655485,,,,6933940.0,5954300.0,,79.33363772936623,164.5295910246705,56.79823926108909,51.4109436723445
