Date,Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
1,2015-04-24,13701211136.0,13809950985.395538,13575741888.85442,13701211136.0,0,,,,,,,,,,,,,,,,,,,
2,2015-04-27,13751396352.0,13943782336.034485,13559011191.95188,13600834267.78487,0,,,,,,,,,,,,,,,,,,,
3,2015-04-28,14052523008.0,14177991419.008976,13768126569.73563,13768126569.73563,0,,,,,,,,,,,,,,,,,,,
4,2015-04-30,13600834560.0,13918688954.37622,13408448571.832088,13751396647.449968,0,,,,,,,,,,,,,,,,,,,
5,2015-05-01,13400084480.0,13625929276.303488,13299709747.40862,13475366353.429976,0,13701209907.2,,,,,,,,,,,,0.0,,,,,,
6,2015-05-07,13441906688.0,13759761909.89007,13349896247.764008,13458636083.67556,0,13649349017.6,,,,,,,,,,,,0.0,,,,,,
7,2015-05-08,13358261248.0,13433542291.942806,13257885698.756544,13416812896.4045,0,13570721996.8,,,,,,,,,,,,0.0,,,,,,
8,2015-05-11,13349898240.0,13701211481.68208,13349898240.0,13441908693.966925,0,13430197043.2,,,,,,,,,,,,0.0,,,,,,
9,2015-05-12,13676116992.0,14604586588.136791,13467002411.101156,13467002411.101156,0,13445253529.6,,,,,,,,,,,,0.0,,,,,,
10,2015-05-13,13600834560.0,13893595273.13456,13333166704.12072,13726302966.208307,0,13485403545.6,,,,,,,,,,,,0.0,,,,,46.739076918982576,
11,2015-05-14,13533920256.0,13743034853.588137,13508825746.221815,13642659286.43499,0,13503806259.2,,,,,,,,,,,,0.0,,,,,44.55960636190658,
12,2015-05-15,13416814592.0,14152899024.86045,13366627223.028864,13726304740.632818,0,13515516928.0,,,,,,,,,,,,0.0,,,,,40.81266190594688,
13,2015-05-18,13600834560.0,13701209284.966646,13341531813.858862,13341531813.858862,0,13565704192.0,,,,,,,,,,,,0.0,,,,,48.472422671620706,
14,2015-05-19,13609199616.0,13835043583.943563,13567376536.90135,13667752091.535397,0,13552320716.8,,,,,,,,,,,,0.0,,,,,48.81120265919662,
15,2015-05-20,13508824064.0,13659386983.987211,13190969651.572,13634293301.320414,0,13533918617.6,13573510690.133333,,,,,,,,,,,0.0,,,,,44.83215403588734,45.22817045071258
16,2015-05-21,13826677760.0,14161262375.517963,13659386276.227402,13659386276.227402,0,13592470118.4,13581875131.733334,,,,,,,,,,,0.0,,,,,57.24781611713451,53.178674862541044
17,2015-05-22,14052523008.0,14194721639.125393,13943783169.134611,13952148279.192818,0,13719611801.6,13601950242.133333,,,,,,,,,,,0.0,,,,,63.7661239259911,57.859335835333184
18,2015-05-25,14111078400.0,14420567760.468271,14052525913.432173,14203088037.772442,0,13821660569.6,13605853934.933332,,,,,,,,,,,0.0,,,,,65.30890066149048,59.00366031025817
19,2015-05-26,14203085824.0,14537670467.68125,14077617406.605986,14219816044.967808,0,13940437811.2,13646004019.2,,,,,,,,,,,0.0,,,,,67.73718243616855,60.80469675790956
20,2015-05-27,14529304576.0,14755149363.139132,14270002644.66996,14295096326.79955,0,14144533913.6,13721285358.933332,,,,,,,,,,,0.0,,,,,74.77896353623908,66.43503350433686
21,2015-05-28,14462388224.0,14537669268.225214,14328554707.164251,14495845367.22936,0,14271676006.4,13789317461.333334,,,,,,,,,,,0.0,,,,,71.19309817813671,64.39170458302745
22,2015-05-29,14445659136.0,14638045140.516665,14320190719.129526,14462389356.898,0,14350303232.0,13861810653.866667,,,,,,,,,,,0.0,,,,,70.24571233815095,63.86287676349682
23,2015-06-01,14437296128.0,14504212069.779753,14069252680.306017,14111076585.894695,0,14415546777.6,13934303846.4,,,,,,,,,,,0.0,,,,,69.7239010817076,63.58175671147741
24,2015-06-02,14805337088.0,14914076929.200989,14504211247.137815,14554398612.61937,0,14535997030.4,14009585186.133333,,,,,,,,,,,0.0,,,,,77.86467495263003,69.86798139465937
25,2015-06-03,14462388224.0,14671502785.06096,14403835751.389463,14604585202.6567,0,14522613760.0,14067022097.066668,13877535948.8,,14308882717.060253,13877535948.8,13446189180.539745,14740229485.320509,13014842412.27949,,,,0.0,0.0,,,,60.74295382408482,59.552514140080625
26,2015-06-04,14295098368.0,14512578076.158976,14144536253.72366,14403838222.079489,0,14489155788.8,14117767304.533333,13901291438.08,,14338585879.606903,13901291438.08,13463996996.553097,14775880321.133806,13026702555.026194,,,,0.0,0.0,,,,54.20235030036312,55.26609706421337
27,2015-06-05,14378742784.0,14487482624.82714,14119439199.272972,14119439199.272972,0,14475772518.4,14181895850.666666,13926385295.36,,14372273596.342152,13926385295.36,13480496994.37785,14818161897.324305,13034608693.395697,,,,0.0,0.0,,,,56.81780100945407,56.93514697602904
28,2015-06-08,14085982208.0,14370377830.510218,14027429731.843311,14345284147.582048,0,14405509734.4,14214239027.2,13927723663.36,,14374038578.865639,13927723663.36,13481408747.854362,14820353494.371275,13035093832.348726,,,,0.0,0.0,,,,46.38680123237322,49.915315636005694
29,2015-06-09,14311825408.0,14487482837.128498,14010701211.733229,14035794894.755457,0,14306807398.4,14261080746.666666,13956163297.28,,14403393995.688456,13956163297.28,13508932598.871546,14850624694.09691,13061701900.46309,,,,0.0,0.0,,,,53.754881663431256,54.56881253923353
30,2015-06-10,14127804416.0,14412201685.525772,14119439305.72781,14219815685.075483,0,14239890636.8,14302346103.466667,13985272094.72,,14418835765.263151,13985272094.72,13551708424.176847,14852399435.806303,13118144753.633696,,,,0.0,0.0,,,,47.74060468389036,50.45518187907357
31,2015-06-11,14713325568.0,14713325568.0,14186356591.471392,14362012367.65665,0,14323536076.8,14361455957.333334,14036128849.92,,14477471894.109852,14036128849.92,13594785805.730148,14918814938.299704,13153442761.540297,,,,0.0,0.0,,,,62.68495963686246,60.62589477505497
32,2015-06-12,14512576512.0,14855524611.7598,14470752608.33785,14629679816.713682,0,14350302822.4,14392126190.933332,14082301460.48,,14510497313.154459,14082301460.48,13654105607.80554,14938693165.828918,13225909755.13108,,,,0.0,0.0,,,,56.457668388375524,56.3544300437952
33,2015-06-15,14512576512.0,14621316354.359556,14194722095.248337,14270003144.272749,0,14435621683.2,14418892731.733334,14128808591.36,,14537633322.422764,14128808591.36,13719983860.297237,14946458053.485529,13311159129.234472,,,,0.0,0.0,,,,56.457668388375524,56.35443004379521
34,2015-06-16,14520942592.0,14847160492.889824,14403837631.493456,14403837631.493456,0,14477445120.0,14440083182.933332,14162601615.36,,14567508108.109312,14162601615.36,13757695122.61069,14972414600.858624,13352788629.861378,258591489.36777687,294618864.1938625,-36027374.82608563,0.0,0.0,,,,56.684629477849924,56.502552295781946
35,2015-06-17,14763516928.0,15181746131.683432,14638046848.516497,14721693018.8478,0,14604587622.4,14455697339.733334,14209108910.08,,14613592554.925472,14209108910.08,13804625265.234528,15018076199.770943,13400141620.389057,269040645.5540371,289503220.46589744,-20462574.911860347,0.0,0.0,,,,62.979135372702686,60.67035962288475
36,2015-06-18,15014452224.0,15206838230.885847,14863890121.9013,14863890121.9013,0,14664812953.6,14492501606.4,14268330188.8,,14677973673.407478,14268330188.8,13858686704.19252,15087617158.014957,13449043219.585041,294178946.5711479,290438365.6869475,3740580.884200394,0.0,0.0,,,,68.33435591188301,64.46366715020541
