Date,Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
1,2015-02-24,1334.6502685546875,1346.4962768554688,1326.7529296875,1342.547607421875,21800,,,,,,,,,,,,,,,,,,,
2,2015-02-25,1334.6502685546875,1346.4962768554688,1330.7015991210938,1346.4962768554688,14000,,,,,,,,,,,,,,,,,,,
3,2015-02-26,1338.598876953125,1346.496215460223,1330.701538446027,1334.650207699576,13000,,,,,,,,,,,,,,,,,,,
4,2015-02-27,1350.445068359375,1354.3937381498995,1342.547728778326,1350.445068359375,11400,,,,,,,,,,,,,,,,,,,
5,2015-03-02,1362.290771484375,1366.239440387228,1350.4447647758152,1350.4447647758152,11600,1344.12705078125,,,,,,,,,,,,14360.0,,,,,,
6,2015-03-03,1358.3421630859375,1366.239501243414,1358.3421630859375,1366.239501243414,12600,1348.8654296875,,,,,,,,,,,,12520.0,,,,,,
7,2015-03-04,1358.3421630859375,1362.2908321646755,1350.4448249284612,1358.3421630859375,12200,1353.60380859375,,,,,,,,,,,,12160.0,,,,,,
8,2015-03-05,1362.290771484375,1370.1881092900817,1362.290771484375,1362.290771484375,12400,1358.3421875,,,,,,,,,,,,12040.0,,,,,,
9,2015-03-06,1366.2396240234375,1366.2396240234375,1362.2909545898438,1366.2396240234375,5000,1361.5010986328125,,,,,,,,,,,,10760.0,,,,,,
10,2015-03-09,1374.136962890625,1378.0856323242188,1370.1882934570312,1374.136962890625,17800,1363.8703369140626,,,,,,,,,,,,12000.0,,,,,91.66677400822837,
11,2015-03-10,1366.2396240234375,1382.0343017578125,1358.34228515625,1378.0856323242188,13200,1365.4498291015625,,,,,,,,,,,,12120.0,,,,,77.19304144937354,
12,2015-03-11,1346.49609375,1358.3421004398826,1342.5474248533724,1358.3421004398826,19800,1363.080615234375,,,,,,,,,,,,13640.0,,,,,53.4546743012576,
13,2015-03-12,1350.445068359375,1354.3937381498995,1334.650389197277,1354.3937381498995,21800,1360.711474609375,,,,,,,,,,,,15520.0,,,,,56.46700917052334,
14,2015-03-13,1358.3421630859375,1362.2908321646755,1350.4448249284612,1350.4448249284612,17200,1359.131982421875,,,,,,,,,,,,17960.0,,,,210.05110732538333,61.999848202750684,
15,2015-03-16,1358.3421630859375,1362.2908321646755,1354.3934940071997,1358.3421630859375,9600,1355.9730224609375,1354.6568033854167,,,,,,,,,,,16320.0,,,,201.7322834645669,61.999848202750684,63.63627421498891
16,2015-03-17,1366.2396240234375,1370.1882934570312,1358.34228515625,1358.34228515625,10000,1355.9730224609375,1356.7627604166667,,,,,,,,,,,15680.0,,,,232.0353982300885,67.2655865714057,66.87894094618349
17,2015-03-18,1358.3421630859375,1370.1881703221522,1354.3934940071997,1370.1881703221522,19000,1358.342236328125,1358.3422200520833,,,,,,,,,,,15520.0,,,,156.42384105960267,58.19361275938487,61.019117299885075
18,2015-03-19,1358.3421630859375,1362.2908321646755,1350.4448249284612,1362.2908321646755,9800,1359.9216552734374,1359.6584391276042,,,,,,,,,,,13120.0,,,,138.80597014925374,58.19361275938487,61.019117299885075
19,2015-03-20,1366.2396240234375,1366.2396240234375,1358.34228515625,1358.34228515625,14400,1361.5011474609375,1360.7114095052084,,,,,,,,,,,12560.0,,,,142.28855721393035,64.2891751490962,64.61483622167094
20,2015-03-23,1409.675048828125,1421.5210576418067,1378.0856919916405,1378.0856919916405,49200,1371.767724609375,1363.870361328125,,,,,,,,,,,20480.0,,,,241.29793510324484,81.22610391079364,77.1170579562871
21,2015-03-24,1433.366943359375,1433.366943359375,1405.7262585012052,1421.5209355630166,29400,1385.1931884765625,1368.8720133463542,,,,,,,,,,,24360.0,,,,302.91734197730955,85.45824277108684,81.0499854165058
22,2015-03-25,1425.4697265625,1437.3157353704985,1421.5210569598337,1433.3670657678324,16000,1398.618701171875,1373.3471842447916,,,,,,,,,,,23760.0,,,,224.5817245817246,78.79718791439305,76.34004471961326
23,2015-03-26,1405.726318359375,1425.4696655273438,1389.931640625,1421.52099609375,18400,1408.0955322265625,1376.2428873697916,,,,,,,,,,,25480.0,,,,176.37877211238293,64.62892597741931,66.01199944870544
24,2015-03-27,1389.52197265625,1417.879563934949,1385.4708881878644,1397.624141593021,18600,1412.752001953125,1377.7950439453125,,,,,,,,,,,26320.0,,,,132.25806451612902,55.426811133546174,58.96137787806155
25,2015-03-30,1393.5728759765625,1393.5728759765625,1381.4196241511854,1393.5728759765625,9000,1409.5315673828125,1379.090771484375,1369.0539404296876,,1394.8745407292508,1369.0539404296876,1343.2333401301244,1420.6951410288139,1317.4127398305613,,,,18280.0,16288.0,,,158.32512315270938,57.1429631377004,60.10844939973951
26,2015-03-31,1393.5728759765625,1421.9304635691087,1393.5728759765625,1393.5728759765625,7000,1401.57275390625,1380.91298828125,1371.4108447265626,,1396.6665574355766,1371.4108447265626,1346.1551320175486,1421.9222701445908,1320.8994193085343,,,,13800.0,15696.0,,172.6893676164003,192.72300469483568,57.142963137700406,60.10844939973953
27,2015-04-01,1365.21533203125,1389.521836459106,1361.164247959941,1389.521836459106,18000,1389.521875,1382.1609375,1372.633447265625,,1396.7961880901862,1372.633447265625,1348.4707064410636,1420.9589289147475,1324.3079656165023,,,,14200.0,15856.0,,153.4898085237801,137.984496124031,42.60847311821658,48.99110490759942
28,2015-04-02,1377.36865234375,1381.4197366153492,1365.215399528952,1365.215399528952,4800,1383.850341796875,1383.9558430989584,1374.18423828125,,1397.3358235188064,1374.18423828125,1351.0326530436935,1420.487408756363,1327.8810678061368,,,,11480.0,15528.0,,159.0058102001291,125.96899224806202,48.8778580531741,53.00297549236399
