Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,397.0,408.0,397.0,405.0,352200,,,,,,,,,,,,,,,,,,,
2025-04-02,396.0,406.0,396.0,400.0,276000,,,,,,,,,,,,,,,,,,,
2025-04-03,391.0,392.0,381.0,388.0,534900,,,,,,,,,,,,,,,,,,,
2025-04-04,359.0,376.0,353.0,375.0,632400,,,,,,,,,,,,,,,,,,,
2025-04-07,329.0,335.0,319.0,324.0,658900,374.4,,,,,,,,,,,,490880.0,,,,,,
2025-04-08,362.0,367.0,341.0,341.0,394400,367.4,,,,,,,,,,,,499320.0,,,,,,
2025-04-09,341.0,358.0,333.0,357.0,498900,356.4,,,,,,,,,,,,543900.0,,,,,,
2025-04-10,374.0,377.0,364.0,373.0,433300,353.0,,,,,,,,,,,,523580.0,,,,,,
2025-04-11,369.0,373.0,351.0,358.0,272900,355.0,,,,,,,,,,,,451680.0,,,,,,
2025-04-14,378.0,382.0,373.0,374.0,196100,364.8,,,,,,,,,,,,359120.0,,,,,44.37869822485207,
2025-04-15,385.0,394.0,383.0,383.0,185100,369.4,,,,,,,,,,,,317260.0,,,,,46.85512367491166,
2025-04-16,376.0,386.0,375.0,383.0,186300,376.4,,,,,,,,,,,,254740.0,,,,,44.02025064320691,
2025-04-17,380.0,382.0,376.0,377.0,126100,377.6,,,,,,,,,,,,193300.0,,,,,45.66399484432271,
2025-04-18,392.0,392.0,384.0,386.0,152400,382.2,,,,,,,,,,,,169200.0,,,,48.60307812959514,50.563218338150875,
2025-04-21,396.0,399.0,389.0,391.0,144900,385.8,375.0,,,,,,,,,,,158960.0,,,,53.33790804823057,52.18010447308995,49.75609756097561
2025-04-22,387.0,393.0,383.0,390.0,143800,386.2,374.3333333333333,,,,,,,,,,,150700.0,,,,55.74604692462689,48.19053497716749,47.50985309924758
2025-04-23,394.0,402.0,394.0,397.0,167500,389.8,374.2,,,,,,,,,,,146940.0,,,,75.20474678255056,51.43927041893416,49.42238746514407
2025-04-24,401.0,405.0,398.0,399.0,140600,394.0,374.8666666666667,,,,,,,,,,,149840.0,,,,110.19990913221262,54.63918654538848,51.3320608661295
2025-04-25,407.0,407.0,402.0,406.0,109300,397.0,378.06666666666666,,,,,,,,,,,141220.0,,,,186.01506488792086,57.34928718547445,52.971151661444246
2025-04-28,403.0,414.0,403.0,411.0,155900,398.4,383.0,,,,,,,,,,,143420.0,,,,131.60279853712834,54.889729902220466,51.720556712082846
2025-04-30,405.0,406.0,395.0,405.0,169000,402.0,385.8666666666667,,,,,,,,,,,148460.0,,,,240.38740281987089,55.952340830083344,52.32660609551161
2025-05-01,400.0,405.0,398.0,403.0,128000,403.2,389.8,,,,,,,,,,,140560.0,,,,156.83842597812605,52.47577661046685,50.61596853480841
2025-05-02,403.0,410.0,399.0,400.0,189100,403.6,391.73333333333335,,,,,,,,,,,150260.0,,,,257.3452768729642,54.38874498703938,51.6375653399657
2025-05-07,399.0,404.0,399.0,402.0,169500,402.0,393.73333333333335,,,,,,,,,,,162300.0,,,,176.64326738991704,51.29181028547571,50.14796514415476
