Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,1462.0,1481.0,1456.0,1469.0,52000,,,,,,,,,,,,,,,,,,,
2025-04-02,1434.0,1479.0,1433.0,1479.0,37300,,,,,,,,,,,,,,,,,,,
2025-04-03,1428.0,1434.0,1388.0,1394.0,114000,,,,,,,,,,,,,,,,,,,
2025-04-04,1324.0,1408.0,1310.0,1404.0,181200,,,,,,,,,,,,,,,,,,,
2025-04-07,1224.0,1285.0,1219.0,1247.0,324600,1374.4,,,,,,,,,,,,141820.0,,,,,,
2025-04-08,1246.0,1263.0,1236.0,1254.0,183100,1331.2,,,,,,,,,,,,168040.0,,,,,,
2025-04-09,1252.0,1280.0,1239.0,1260.0,156500,1294.8,,,,,,,,,,,,191880.0,,,,,,
2025-04-10,1338.0,1348.0,1307.0,1312.0,138100,1276.8,,,,,,,,,,,,196700.0,,,,,,
2025-04-11,1303.0,1316.0,1267.0,1311.0,145200,1272.6,,,,,,,,,,,,189500.0,,,,,,
2025-04-14,1347.0,1353.0,1324.0,1332.0,89400,1297.2,,,,,,,,,,,,142460.0,,,,,36.65893271461718,
2025-04-15,1357.0,1395.0,1357.0,1360.0,162000,1319.4,,,,,,,,,,,,138240.0,,,,,38.27020915771623,
2025-04-16,1380.0,1389.0,1365.0,1368.0,111300,1345.0,,,,,,,,,,,,129200.0,,,,,42.08240792919416,
2025-04-17,1352.0,1370.0,1344.0,1367.0,84400,1347.8,,,,,,,,,,,,118460.0,,,,,38.80067851521311,
2025-04-18,1391.0,1392.0,1352.0,1353.0,44100,1365.4,,,,,,,,,,,,98240.0,,,,99.7518890267283,45.4647356037352,
2025-04-21,1372.0,1399.0,1372.0,1398.0,35100,1370.4,1347.3333333333333,,,,,,,,,,,87380.0,,,,95.9535691039271,42.90418549222461,41.81818181818181
2025-04-22,1384.0,1391.0,1363.0,1374.0,76300,1375.8,1342.1333333333334,,,,,,,,,,,70240.0,,,,108.6263425664217,45.10104777747213,43.15386717682427
2025-04-23,1387.0,1396.0,1382.0,1391.0,53400,1377.2,1339.0,,,,,,,,,,,58660.0,,,,131.62881245944192,45.68878153738881,43.503060947326624
2025-04-24,1361.0,1390.0,1360.0,1390.0,58500,1379.0,1334.5333333333333,,,,,,,,,,,53480.0,,,,156.5606668724915,41.37049087136702,41.14415571583835
2025-04-25,1359.0,1369.0,1355.0,1361.0,48100,1372.6,1336.8666666666666,,,,,,,,,,,54280.0,,,,273.1483975222192,41.0348580673971,40.96016592902455
2025-04-28,1370.0,1386.0,1364.0,1364.0,97200,1372.2,1346.6,,,,,,,,,,,66700.0,,,,250.01346619983843,43.8533252334959,42.48360329868399
