Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,5710.0,5850.0,5710.0,5800.0,61300,,,,,,,,,,,,,,,,,,,
2025-04-02,5660.0,5770.0,5620.0,5770.0,72600,,,,,,,,,,,,,,,,,,,
2025-04-03,5540.0,5610.0,5470.0,5510.0,131400,,,,,,,,,,,,,,,,,,,
2025-04-04,5240.0,5370.0,5090.0,5340.0,193500,,,,,,,,,,,,,,,,,,,
2025-04-07,4920.0,5060.0,4695.0,4695.0,208000,5414.0,,,,,,,,,,,,133360.0,,,,,,
2025-04-08,5440.0,5500.0,5230.0,5230.0,138000,5360.0,,,,,,,,,,,,148700.0,,,,,,
2025-04-09,5330.0,5390.0,5230.0,5340.0,182300,5294.0,,,,,,,,,,,,170640.0,,,,,,
2025-04-10,5590.0,5690.0,5540.0,5690.0,98000,5304.0,,,,,,,,,,,,163960.0,,,,,,
2025-04-11,5550.0,5590.0,5380.0,5500.0,98800,5366.0,,,,,,,,,,,,145020.0,,,,,,
2025-04-14,5550.0,5610.0,5520.0,5550.0,62700,5492.0,,,,,,,,,,,,115960.0,,,,,45.34883720930233,
2025-04-15,5530.0,5570.0,5520.0,5550.0,35400,5510.0,,,,,,,,,,,,95440.0,,,,,44.76327116212339,
2025-04-16,5580.0,5610.0,5550.0,5570.0,29000,5560.0,,,,,,,,,,,,64780.0,,,,,46.698970321017576,
2025-04-17,5560.0,5590.0,5550.0,5560.0,30700,5554.0,,,,,,,,,,,,51320.0,,,,,45.97397619098324,
2025-04-18,5750.0,5760.0,5610.0,5610.0,48100,5594.0,,,,,,,,,,,,41180.0,,,,35.00330267770946,53.662392933099376,
2025-04-21,5660.0,5750.0,5650.0,5720.0,39600,5616.0,5507.333333333333,,,,,,,,,,,36560.0,,,,33.649196502710886,49.87971549800516,48.803827751196174
2025-04-22,5650.0,5720.0,5600.0,5610.0,45900,5640.0,5503.333333333333,,,,,,,,,,,38660.0,,,,34.550378654897436,49.44404984505493,48.55364335408275
2025-04-23,5640.0,5710.0,5620.0,5700.0,49500,5652.0,5502.0,,,,,,,,,,,42760.0,,,,37.64275176219879,48.9629343828684,48.28706686461806
2025-04-24,5580.0,5660.0,5580.0,5660.0,57500,5656.0,5504.666666666667,,,,,,,,,,,48120.0,,,,44.214106925101085,45.94521182060275,46.63271952404636
2025-04-25,5630.0,5660.0,5580.0,5580.0,53600,5632.0,5530.666666666667,,,,,,,,,,,49220.0,,,,69.70492951580421,48.89792770809332,48.22464379741532
2025-04-28,5620.0,5700.0,5620.0,5670.0,33500,5624.0,5577.333333333333,,,,,,,,,,,48000.0,,,,43.01546604912745,48.30424377395187,47.91678632828515
2025-04-30,5550.0,5610.0,5490.0,5610.0,79800,5604.0,5584.666666666667,,,,,,,,,,,54780.0,,,,51.797629718155555,44.08879661325133,45.71670705045478
2025-05-01,5460.0,5520.0,5430.0,5510.0,77300,5568.0,5593.333333333333,,,,,,,,,,,60340.0,,,,27.971001984983168,39.14731347369403,42.984038156813995
2025-05-02,5460.0,5530.0,5440.0,5500.0,60400,5544.0,5584.666666666667,,,,,,,,,,,60920.0,,,,37.6407244248654,39.14731347369403,42.984038156813995
2025-05-07,5880.0,5930.0,5480.0,5490.0,501700,5594.0,5606.666666666667,,,,,,,,,,,150540.0,,,,138.21443471005423,63.38529459542179,56.92065381799637
2025-05-08,5750.0,6060.0,5700.0,5840.0,223100,5620.0,5620.0,5553.2,,5736.671414667248,5553.2,5369.728585332751,5920.142829334498,5186.257170665502,,,,188460.0,104468.0,,,99.32543846499775,55.66481872277752,52.63228765575955
2025-05-09,5700.0,5780.0,5660.0,5740.0,156300,5650.0,5631.333333333333,5552.8,,5735.93972807667,5552.8,5369.660271923331,5919.079456153339,5186.520543846661,,,,203760.0,108268.0,,52.33994653158858,76.94923487976682,52.877993707309244,51.03956456422506
2025-05-12,5650.0,5700.0,5570.0,5680.0,98000,5688.0,5636.0,5552.4,,5735.31593697654,5552.4,5369.484063023459,5918.231873953081,5186.568126046918,,,,207900.0,109284.0,,49.60394719295906,71.13506231054228,50.05857297731613,49.4287255992119
2025-05-13,5730.0,5750.0,5640.0,5660.0,68100,5742.0,5647.333333333333,5560.0,,5746.161220451521,5560.0,5373.838779548479,5932.322440903043,5187.677559096957,,,,209440.0,106752.0,,55.381072607718565,73.38048725721342,54.43195873029717,52.03701647520308
2025-05-14,5720.0,5750.0,5600.0,5720.0,71200,5710.0,5645.333333333333,5579.2,,5755.8786914146785,5579.2,5402.521308585321,5932.557382829356,5225.842617170643,,,,123340.0,101860.0,,57.29498550475043,70.86631247967038,53.769806498515884,51.67821491386094
2025-05-15,5660.0,5730.0,5640.0,5660.0,49200,5692.0,5645.333333333333,5608.8,,5723.771996590469,5608.8,5493.828003409531,5838.743993180937,5378.856006819064,,,,88560.0,95508.0,,62.46987763277314,70.61365600691444,49.68967800937527,49.47399534656397
2025-05-16,5640.0,5680.0,5620.0,5640.0,43300,5680.0,5644.666666666667,5616.8,,5726.589616995406,5616.8,5507.010383004595,5836.379233990812,5397.220766009188,,,,65960.0,91720.0,,69.65002268048431,71.08984120078313,48.31485339165023,48.7279099114171
2025-05-19,5510.0,5630.0,5480.0,5620.0,94600,5652.0,5636.0,5624.0,,5719.749673628687,5624.0,5528.250326371313,5815.499347257373,5432.500652742627,,,,65280.0,88212.0,,56.302576020424866,68.3324621014114,40.184560060899415,44.07522002150405
2025-05-20,5430.0,5540.0,5420.0,5510.0,99200,5592.0,5626.0,5617.6,,5720.489455241996,5617.6,5514.710544758004,5823.378910483992,5411.821089516009,,,,71500.0,88260.0,,59.541694070407424,56.834327934072185,35.991555607505475,41.45217943273535
2025-05-21,5400.0,5480.0,5400.0,5450.0,54700,5528.0,5610.666666666667,5611.6,,5722.33138669771,5611.6,5500.868613302291,5833.062773395419,5390.137226604582,6.232253318737094,53.93862816916438,-47.70637485042729,68200.0,86496.0,,50.832138211653266,55.71547961742037,34.47401017717388,40.4792990275698
