Date,Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
1,2015-04-24,4034946048.0,4121052282.245613,4028057529.99985,4098664839.5013833,0,,,,,,,,,,,,,,,,,,,
2,2015-04-27,4000503296.0,4108997450.108915,3960894319.103095,4108997450.108915,0,,,,,,,,,,,,,,,,,,,
3,2015-04-28,4019447552.0,4036668849.868844,3964339398.8197,4026336071.1475377,0,,,,,,,,,,,,,,,,,,,
4,2015-04-30,3960894720.0,4000503700.9058776,3952284071.976983,3979838145.650637,0,,,,,,,,,,,,,,,,,,,
5,2015-05-01,4050445312.0,4074555125.586832,3960894575.8203406,3960894575.8203406,0,4013247385.6,,,,,,,,,,,,0.0,,,,,,
6,2015-05-07,3945395712.0,4086610104.492175,3931618674.609907,4076277326.449605,0,3995337318.4,,,,,,,,,,,,0.0,,,,,,
7,2015-05-08,4205437696.0,4217492364.1159806,3972950167.748807,3986727206.4599886,0,4036324198.4,,,,,,,,,,,,0.0,,,,,,
8,2015-05-11,4391426560.0,4412092114.880472,4253656675.6427207,4356983968.532547,0,4110720000.0,,,,,,,,,,,,0.0,,,,,,
9,2015-05-12,4391426560.0,4420703003.503601,4291543044.744386,4307042451.661007,0,4196826368.0,,,,,,,,,,,,0.0,,,,,,
10,2015-05-13,4320819712.0,4387982528.083268,4301876044.955644,4387982528.083268,0,4250901248.0,,,,,,,,,,,,0.0,,,,,67.36403052926136,
11,2015-05-14,4313931264.0,4339762968.60506,4270878262.487378,4305320374.789936,0,4324608358.4,,,,,,,,,,,,0.0,,,,,66.73577115354429,
12,2015-05-15,4334596096.0,4386259978.089912,4320819060.776024,4358705907.641959,0,4350440038.4,,,,,,,,,,,,0.0,,,,,67.75083283828103,
13,2015-05-18,4338040320.0,4400036978.0104685,4310486249.773125,4382815684.118671,0,4339762790.4,,,,,,,,,,,,0.0,,,,,67.93430394426183,
14,2015-05-19,4253656832.0,4313931128.527358,4241601683.786998,4288098943.2209535,0,4312208844.8,,,,,,,,,,,,0.0,,,,,58.72565986098665,
15,2015-05-20,4269155584.0,4310486693.595908,4250212399.524808,4301875805.007161,0,4301876019.2,4188674884.266667,,,,,,,,,,,0.0,,,,,59.85021702925768,62.27439346547039
16,2015-05-21,4200270336.0,4255378481.270605,4155494967.9676337,4253656592.48716,0,4279143833.6,4199696503.4666667,,,,,,,,,,,0.0,,,,,52.67423043941375,57.781508989121264
17,2015-05-22,4031502080.0,4164106061.07444,4009114394.883536,4148606653.699076,0,4218525030.4,4201763089.0666666,,,,,,,,,,,0.0,,,,,39.59067330455574,48.54139697613022
18,2015-05-25,4031502080.0,4059055913.2332206,3997059487.5131326,4043556987.370404,0,4157217382.4,4202566724.266667,,,,,,,,,,,0.0,,,,,39.59067330455574,48.54139697613024
19,2015-05-26,4059056128.0,4076277425.1546216,4007392477.292422,4007392477.292422,0,4118297241.6,4209110818.133333,,,,,,,,,,,0.0,,,,,42.53980666444953,50.05375702694438
20,2015-05-27,3998781440.0,4069388510.714062,3990170792.259717,4055611474.329608,0,4064222412.8,4205666560.0,,,,,,,,,,,0.0,,,,,37.97717739073177,46.81264090628554
21,2015-05-28,4009114112.0,4176160433.0182266,4005669852.994341,4043556702.056595,0,4025991168.0,4209914453.3333335,,,,,,,,,,,0.0,,,,,39.23410357812715,47.44094203250913
22,2015-05-29,3879954944.0,3960895041.996289,3861011516.809379,3960895041.996289,0,3995681740.8,4188215603.2,,,,,,,,,,,0.0,,,,,30.532711472202102,40.93188036406698
23,2015-06-01,3948839936.0,3957450584.291731,3864455582.741035,3866177712.399381,0,3979149312.0,4158709828.266667,,,,,,,,,,,0.0,,,,,38.6910343689696,45.24667045410975
24,2015-06-02,3871344128.0,3945395703.818185,3848956442.2875257,3916119499.424949,0,3941606912.0,4124037666.133333,,,,,,,,,,,0.0,,,,,33.68430361921775,41.5678984172603
25,2015-06-03,3807625216.0,3878232285.139304,3799014568.451761,3850678212.984938,0,3903375667.2,4089824699.733333,4106724546.56,,4280307996.4520097,4106724546.56,3933141096.66799,4453891446.34402,3759557646.77598,,,,0.0,0.0,,,,30.08338533333904,38.776273030610774
26,2015-06-04,3828291072.0,3890287498.479863,3814514034.836413,3857567035.216345,0,3867211059.2,4057448686.9333334,4098458347.52,,4280001196.197226,4098458347.52,3916915498.842774,4461544044.874452,3735372650.165548,,,,0.0,0.0,,,,32.708123008060994,40.17947132625589
27,2015-06-05,3814514176.0,3878232734.483341,3805903527.454104,3845512510.765224,0,3854122905.6,4022776558.9333334,4091018782.72,,4280078621.91994,4091018782.72,3901958943.5200596,4469138461.119881,3712899104.320119,,,,0.0,0.0,,,,31.812442683801056,39.52904476367261
28,2015-06-08,3826568448.0,3852400148.5882497,3792125859.540673,3814513542.039236,0,3829668608.0,3988678434.133333,4083303618.56,,4278947582.379381,4083303618.56,3887659654.7406187,4474591546.198763,3692015690.9212375,,,,0.0,0.0,,,,33.602196326108356,40.437577734161486
29,2015-06-09,3737018368.0,3814514205.51264,3737018368.0,3799015038.010112,0,3802803456.0,3954235869.866667,4074348564.48,,4280245502.382762,4074348564.48,3868451626.577238,4486142440.285524,3662554688.6744757,,,,0.0,0.0,,,,27.5571465481035,36.098542245039624
30,2015-06-10,3611302656.0,3730129598.881438,3609580526.393023,3730129598.881438,0,3763538944.0,3910379008.0,4056782858.24,,4281813080.4708424,4056782858.24,3831752636.009157,4506843302.701685,3606722413.778315,,,,0.0,0.0,,,,21.45987531811562,31.05987141450846
31,2015-06-11,3726685184.0,3755961386.095718,3626801670.967551,3626801670.967551,0,3743217766.4,3878806664.5333333,4048034437.12,,4281324730.9018326,4048034437.12,3814744143.338167,4514615024.683665,3581453849.5563345,,,,0.0,0.0,,,,36.066031619183256,39.417933290765234
32,2015-06-12,3788681728.0,3838623482.94414,3755961267.864184,3771460433.191676,0,3738051276.8,3862618641.0666666,4031364198.4,,4267681751.676741,4031364198.4,3795046645.123259,4503999304.953483,3558729091.8465176,,,,0.0,0.0,,,,42.52687377872906,43.3893353827741
33,2015-06-15,3724963328.0,3814514070.3981714,3706019901.723464,3776627217.845099,0,3717730252.8,3842182724.266667,4004705669.12,,4236448570.56246,4004705669.12,3772962767.67754,4468191472.00492,3541219866.23508,,,,0.0,0.0,,,,38.077711813532154,40.45409086315973
34,2015-06-16,3695687168.0,3724963372.596057,3637134758.807886,3718074853.867573,0,3709464012.8,3817958126.9333334,3976876093.44,,4202193342.1141706,3976876093.44,3751558844.7658296,4427510590.788341,3526241596.0916595,-130087683.43085337,-122510822.03919125,-7576861.391662121,0.0,0.0,,,,36.12420543486638,39.1438277550241
35,2015-06-17,3647467008.0,3718074314.7285542,3638856360.8379807,3695686632.1073055,0,3716696883.2,3794537164.8,3949941985.28,,4172766897.892153,3949941985.28,3727117072.6678476,4395591810.504305,3504292160.0556955,-132647789.48797417,-124538215.52894783,-8109573.959026337,0.0,0.0,,,,32.98824707603234,37.01716585383902
