Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,1365.0,1402.0,1365.0,1387.0,26600,,,,,,,,,,,,,,,,,,,
2025-04-02,1349.0,1383.0,1342.0,1380.0,52200,,,,,,,,,,,,,,,,,,,
2025-04-03,1330.0,1339.0,1286.0,1291.0,90600,,,,,,,,,,,,,,,,,,,
2025-04-04,1263.0,1307.0,1239.0,1301.0,149700,,,,,,,,,,,,,,,,,,,
2025-04-07,1175.0,1213.0,1130.0,1144.0,151700,1296.4,,,,,,,,,,,,94160.0,,,,,,
2025-04-08,1232.0,1252.0,1204.0,1205.0,108200,1269.8,,,,,,,,,,,,110480.0,,,,,,
2025-04-09,1206.0,1212.0,1159.0,1202.0,67400,1241.2,,,,,,,,,,,,113520.0,,,,,,
2025-04-10,1290.0,1299.0,1271.0,1296.0,42700,1233.2,,,,,,,,,,,,103940.0,,,,,,
2025-04-11,1297.0,1297.0,1232.0,1268.0,49000,1240.0,,,,,,,,,,,,83800.0,,,,,,
2025-04-14,1310.0,1331.0,1310.0,1327.0,36800,1267.0,,,,,,,,,,,,60820.0,,,,,42.70557029177719,
2025-04-15,1347.0,1358.0,1332.0,1335.0,33700,1290.0,,,,,,,,,,,,45920.0,,,,,48.40250821140639,
2025-04-16,1356.0,1356.0,1331.0,1334.0,56300,1320.0,,,,,,,,,,,,43700.0,,,,,49.769267105119724,
2025-04-17,1365.0,1369.0,1338.0,1338.0,46100,1335.0,,,,,,,,,,,,44380.0,,,,,51.222825487696774,
2025-04-18,1405.0,1415.0,1357.0,1357.0,30100,1356.6,,,,,,,,,,,,40600.0,,,,78.7529319781079,57.38824200297458,
2025-04-21,1402.0,1409.0,1382.0,1402.0,29600,1375.0,1312.8,,,,,,,,,,,39160.0,,,,74.44567627494457,56.78265677023073,53.89473684210526
2025-04-22,1412.0,1421.0,1396.0,1407.0,47400,1388.0,1315.9333333333334,,,,,,,,,,,41900.0,,,,92.08588957055215,58.42773775054205,54.91686460807601
2025-04-23,1466.0,1475.0,1421.0,1428.0,62900,1410.0,1323.7333333333333,,,,,,,,,,,43220.0,,,,128.8152610441767,66.23563493066636,60.06538698086945
2025-04-24,1479.0,1513.0,1473.0,1475.0,53400,1432.8,1333.6666666666667,,,,,,,,,,,44680.0,,,,227.82468837957376,67.86997921575175,61.213753497584435
2025-04-25,1526.0,1526.0,1484.0,1489.0,77400,1457.0,1351.2,,,,,,,,,,,54140.0,,,,663.917525773196,73.15508843973717,65.1190865690176
2025-04-28,1563.0,1563.0,1526.0,1526.0,69200,1489.2,1377.0666666666666,,,,,,,,,,,62060.0,,,,623.7113402061856,76.56857399287932,67.86244008012221
2025-04-30,1553.0,1589.0,1539.0,1584.0,100900,1517.4,1398.4666666666667,,,,,,,,,,,72760.0,,,,463.6015325670498,73.71845422673421,66.34372352427731
2025-05-01,1690.0,1738.0,1675.0,1703.0,592700,1562.2,1430.7333333333333,,,,,,,,,,,178720.0,,,,885.0574712643677,83.29953083482422,74.69797851546598
2025-05-02,1836.0,1840.0,1695.0,1700.0,496200,1633.6,1467.1333333333334,,,,,,,,,,,267280.0,,,,1227.7394636015324,88.37878344791059,80.30783849132686
2025-05-07,1792.0,1900.0,1753.0,1850.0,418500,1686.8,1500.1333333333334,,,,,,,,,,,335500.0,,,,285.1366120218579,80.11744223657695,74.91693790340823
2025-05-08,1791.0,1817.0,1769.0,1801.0,229000,1732.4,1532.2,1432.0,,1612.2802263144795,1432.0,1251.7197736855205,1792.560452628959,1071.439547371041,,,,367460.0,124732.0,,,196.87660668380462,79.9264161289704,74.7940518902389
2025-05-09,1837.0,1865.0,1771.0,1777.0,132100,1789.2,1564.8666666666666,1450.88,,1647.160273079084,1450.88,1254.5997269209163,1843.4405461581678,1058.3194538418325,,,,373700.0,128952.0,,149.98449131513647,206.6195372750643,82.1312242652234,76.68830820673683
2025-05-12,1851.0,1861.0,1810.0,1836.0,186400,1821.4,1597.8666666666666,1470.96,,1680.9871372942084,1470.96,1260.9328627057916,1891.014274588417,1050.905725411583,,,,292440.0,134320.0,,164.43858560794044,224.65295629820054,82.77885957725957,77.24870635228454
