Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,821.0,835.0,807.0,825.0,31800,,,,,,,,,,,,,,,,,,,
2025-04-02,796.0,823.0,795.0,821.0,40200,,,,,,,,,,,,,,,,,,,
2025-04-03,787.0,796.0,780.0,795.0,16200,,,,,,,,,,,,,,,,,,,
2025-04-04,758.0,778.0,757.0,777.0,11500,,,,,,,,,,,,,,,,,,,
2025-04-07,721.0,739.0,710.0,729.0,24200,776.6,,,,,,,,,,,,24780.0,,,,,,
2025-04-08,745.0,764.0,745.0,763.0,12700,761.4,,,,,,,,,,,,20960.0,,,,,,
2025-04-09,731.0,745.0,728.0,745.0,9900,748.4,,,,,,,,,,,,14900.0,,,,,,
2025-04-10,755.0,780.0,755.0,776.0,5900,742.0,,,,,,,,,,,,12840.0,,,,,,
2025-04-11,762.0,762.0,730.0,752.0,21500,742.8,,,,,,,,,,,,14840.0,,,,,,
2025-04-14,772.0,775.0,761.0,766.0,2000,753.0,,,,,,,,,,,,10400.0,,,,,36.312849162011176,
2025-04-15,751.0,770.0,745.0,769.0,24600,754.2,,,,,,,,,,,,12780.0,,,,,32.078963602714374,
2025-04-16,750.0,764.0,750.0,764.0,11200,758.0,,,,,,,,,,,,13040.0,,,,,31.87983753544333,
2025-04-17,762.0,762.0,753.0,759.0,1800,759.4,,,,,,,,,,,,12220.0,,,,,37.14689764893054,
2025-04-18,760.0,768.0,760.0,760.0,1400,759.0,,,,,,,,,,,,8200.0,,,,31.537356321839084,36.616055462503354,
2025-04-21,769.0,769.0,761.0,764.0,4200,758.4,762.6666666666666,,,,,,,,,,,8640.0,,,,34.554597701149426,40.8922030772426,38.392857142857146
2025-04-22,778.0,778.0,770.0,775.0,1900,763.8,759.8,,,,,,,,,,,4100.0,,,,50.505050505050505,45.061856227365624,40.94799210006583
2025-04-23,787.0,787.0,780.0,784.0,4500,771.2,759.2,,,,,,,,,,,2760.0,,,,65.82125603864735,49.101237979844946,43.47278103640506
