Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,1106.0,1107.0,1094.0,1107.0,43900,,,,,,,,,,,,,,,,,,,
2025-04-02,1036.0,1099.0,1030.0,1099.0,97700,,,,,,,,,,,,,,,,,,,
2025-04-03,1004.0,1039.0,1003.0,1006.0,41900,,,,,,,,,,,,,,,,,,,
2025-04-04,959.0,980.0,934.0,969.0,137800,,,,,,,,,,,,,,,,,,,
2025-04-07,839.0,893.0,809.0,814.0,97300,988.8,,,,,,,,,,,,83720.0,,,,,,
2025-04-08,921.0,933.0,884.0,884.0,43200,951.8,,,,,,,,,,,,83580.0,,,,,,
2025-04-09,894.0,904.0,862.0,896.0,34500,923.4,,,,,,,,,,,,70940.0,,,,,,
2025-04-10,955.0,967.0,935.0,939.0,53500,913.6,,,,,,,,,,,,73260.0,,,,,,
2025-04-11,944.0,944.0,919.0,919.0,37200,910.6,,,,,,,,,,,,53140.0,,,,,,
2025-04-14,958.0,998.0,958.0,959.0,28500,934.4,,,,,,,,,,,,39380.0,,,,,33.98268398268398,
2025-04-15,945.0,969.0,943.0,959.0,19200,939.2,,,,,,,,,,,,34580.0,,,,,32.93994230264883,
2025-04-16,951.0,957.0,940.0,945.0,9400,950.6,,,,,,,,,,,,29560.0,,,,,33.99161019683769,
2025-04-17,970.0,972.0,951.0,951.0,24400,953.6,,,,,,,,,,,,23740.0,,,,,37.48428970359589,
2025-04-18,998.0,998.0,972.0,972.0,38200,964.4,,,,,,,,,,,,23940.0,,,,42.35395189003437,42.52610765467479,
2025-04-21,1003.0,1006.0,983.0,983.0,24700,973.4,965.5333333333333,,,,,,,,,,,23180.0,,,,47.65893470790378,43.4424402777087,40.33771106941839
2025-04-22,968.0,995.0,966.0,994.0,27300,978.0,956.3333333333334,,,,,,,,,,,24800.0,,,,56.14878542510121,38.5964705853214,37.67354090847823
2025-04-23,983.0,987.0,973.0,978.0,8900,984.4,952.8,,,,,,,,,,,24700.0,,,,65.32691763373903,41.730366063852316,39.51724068540151
2025-04-24,970.0,990.0,970.0,985.0,34200,984.4,950.5333333333333,,,,,,,,,,,26660.0,,,,92.43091710052063,39.75222512048454,38.45551301759505
2025-04-25,970.0,1002.0,961.0,976.0,98400,978.8,951.2666666666667,,,,,,,,,,,38700.0,,,,138.88888888888889,39.75222512048454,38.45551301759505
2025-04-28,980.0,1000.0,947.0,969.0,191000,974.2,960.6666666666666,,,,,,,,,,,71960.0,,,,212.20238095238093,42.409974357267636,39.89615087430758
2025-04-30,1005.0,1008.0,987.0,987.0,29900,981.6,966.2666666666667,,,,,,,,,,,72480.0,,,,273.90783961699583,48.766496662396,43.459435385554436
2025-05-01,1052.0,1086.0,996.0,999.0,263100,995.4,976.8,,,,,,,,,,,123320.0,,,,399.3417115499701,58.463047974477554,49.51871692166658
2025-05-02,1053.0,1065.0,1035.0,1052.0,36500,1012.0,983.3333333333334,,,,,,,,,,,123780.0,,,,541.8013856812933,58.65037029766972,49.64237231943354
2025-05-07,1062.0,1078.0,1034.0,1059.0,148400,1030.4,991.2,,,,,,,,,,,133780.0,,,,634.103156274057,60.4560073538727,50.81021622928398
2025-05-08,1050.0,1058.0,1043.0,1056.0,38900,1044.4,997.3333333333334,983.04,,1039.2876523954553,983.04,926.7923476045446,1095.5353047909107,870.5446952090894,,,,103360.0,64320.0,,,550.6016042780749,56.739495170988064,49.17276786940762
2025-05-09,1051.0,1080.0,1051.0,1062.0,43100,1053.6,1004.4,980.84,,1033.174829702599,980.84,928.5051702974012,1085.509659405198,876.1703405948023,,,,106000.0,64288.0,,161.2483745123537,573.1283422459893,56.987387561785695,49.31934365731286
2025-05-12,1065.0,1090.0,1051.0,1066.0,123500,1056.2,1012.0,982.0,,1035.8442197454838,982.0,928.1557802545161,1089.6884394909678,874.3115605090322,,,,78080.0,65320.0,,181.32314694408322,639.3716577540107,60.547973611680284,51.431067178398926
