Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,2180.0,2197.0,2170.0,2193.0,66400,,,,,,,,,,,,,,,,,,,
2025-04-02,2162.0,2189.0,2150.0,2189.0,67600,,,,,,,,,,,,,,,,,,,
2025-04-03,2152.0,2153.0,2114.0,2125.0,76700,,,,,,,,,,,,,,,,,,,
2025-04-04,2136.0,2140.0,2110.0,2126.0,106500,,,,,,,,,,,,,,,,,,,
2025-04-07,2068.0,2100.0,2010.0,2029.0,155900,2139.6,,,,,,,,,,,,94620.0,,,,,,
2025-04-08,2132.0,2136.0,2083.0,2103.0,102300,2130.0,,,,,,,,,,,,101800.0,,,,,,
2025-04-09,2138.0,2147.0,2093.0,2115.0,89700,2125.2,,,,,,,,,,,,106220.0,,,,,,
2025-04-10,2257.0,2262.0,2142.0,2160.0,166300,2146.2,,,,,,,,,,,,124140.0,,,,,,
2025-04-11,2065.0,2134.0,2056.0,2126.0,281700,2132.0,,,,,,,,,,,,159180.0,,,,,,
2025-04-14,2035.0,2077.0,2035.0,2072.0,144700,2125.4,,,,,,,,,,,,156940.0,,,,,36.137667304015295,
2025-04-15,2034.0,2052.0,2025.0,2035.0,97300,2105.8,,,,,,,,,,,,155940.0,,,,,36.06010016694491,
2025-04-16,2045.0,2057.0,2032.0,2040.0,74800,2087.2,,,,,,,,,,,,152960.0,,,,,37.71453463046319,
2025-04-17,2037.0,2052.0,2030.0,2045.0,58900,2043.2,,,,,,,,,,,,131480.0,,,,,36.93265840063702,
2025-04-18,2067.0,2077.0,2050.0,2051.0,119800,2043.6,,,,,,,,,,,,99100.0,,,,55.888001617305164,42.00494744059435,
2025-04-21,2099.0,2099.0,2066.0,2070.0,72600,2056.4,2107.133333333333,,,,,,,,,,,84680.0,,,,63.226523804710396,47.109507579963946,43.30578512396694
2025-04-22,2128.0,2147.0,2090.0,2092.0,113000,2075.2,2103.6666666666665,,,,,,,,,,,87820.0,,,,80.12368449603993,51.46486832670399,46.08874380365132
2025-04-23,2143.0,2145.0,2125.0,2134.0,79300,2094.8,2102.4,,,,,,,,,,,88720.0,,,,96.7810650887574,53.68419641342344,47.52360518906784
2025-04-24,2086.0,2139.0,2086.0,2136.0,78200,2104.6,2098.0,,,,,,,,,,,92580.0,,,,100.13468838006612,44.90599164273728,42.85584205743811
2025-04-25,2056.0,2083.0,2056.0,2066.0,88900,2102.4,2092.6666666666665,,,,,,,,,,,86400.0,,,,109.08363345338134,40.9420458016481,40.595824175411856
2025-04-28,2079.0,2084.0,2059.0,2060.0,96400,2098.4,2093.4,,,,,,,,,,,91160.0,,,,108.29665199413098,45.12029459199457,43.074391877111104
