Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,3210.0,3285.0,3210.0,3270.0,5300,,,,,,,,,,,,,,,,,,,
2025-04-02,3245.0,3275.0,3210.0,3210.0,4000,,,,,,,,,,,,,,,,,,,
2025-04-03,3165.0,3205.0,3115.0,3180.0,7300,,,,,,,,,,,,,,,,,,,
2025-04-04,2983.0,3135.0,2932.0,3135.0,12300,,,,,,,,,,,,,,,,,,,
2025-04-07,2841.0,2912.0,2800.0,2833.0,11200,3088.8,,,,,,,,,,,,8020.0,,,,,,
2025-04-08,3015.0,3080.0,2901.0,2901.0,10900,3049.8,,,,,,,,,,,,9140.0,,,,,,
2025-04-09,2852.0,2950.0,2852.0,2950.0,9500,2971.2,,,,,,,,,,,,10240.0,,,,,,
2025-04-10,3200.0,3200.0,2995.0,3045.0,11400,2978.2,,,,,,,,,,,,11060.0,,,,,,
2025-04-11,3140.0,3180.0,2940.0,3180.0,15400,3009.6,,,,,,,,,,,,11680.0,,,,,,
2025-04-14,3120.0,3195.0,3100.0,3140.0,8000,3065.4,,,,,,,,,,,,11040.0,,,,,46.262458471760795,
2025-04-15,3130.0,3195.0,3130.0,3170.0,5400,3088.4,,,,,,,,,,,,9940.0,,,,,46.75992594116437,
2025-04-16,3135.0,3155.0,3085.0,3115.0,3200,3145.0,,,,,,,,,,,,8680.0,,,,,47.035724792468756,
2025-04-17,3140.0,3140.0,3120.0,3135.0,1600,3133.0,,,,,,,,,,,,6720.0,,,,,47.342602763025496,
2025-04-18,3310.0,3315.0,3160.0,3165.0,5900,3167.0,,,,,,,,,,,,4820.0,,,,66.56200941915228,56.89552926312037,
2025-04-21,3260.0,3305.0,3240.0,3295.0,6200,3195.0,3116.4,,,,,,,,,,,4460.0,,,,60.65808297567954,53.67363235600604,51.73130193905817
2025-04-22,3295.0,3315.0,3275.0,3280.0,3300,3228.0,3122.0666666666666,,,,,,,,,,,4040.0,,,,59.65665236051502,55.65135077060746,52.95919426850795
2025-04-23,3275.0,3355.0,3275.0,3355.0,3800,3256.0,3124.0666666666666,,,,,,,,,,,4160.0,,,,62.80120481927711,54.164839713515015,52.14291893082107
2025-04-24,3220.0,3310.0,3215.0,3275.0,6700,3272.0,3127.733333333333,,,,,,,,,,,5180.0,,,,68.58552631578947,50.030444302357225,49.8666534766418
2025-04-25,3225.0,3345.0,3175.0,3220.0,11900,3255.0,3143.866666666667,,,,,,,,,,,6380.0,,,,108.06451612903226,50.41750826023894,50.08000419362886
2025-04-28,3405.0,3405.0,3200.0,3215.0,8000,3284.0,3181.4666666666667,,,,,,,,,,,6740.0,,,,102.21774193548387,62.25773933391714,57.149808074889584
2025-04-30,3260.0,3340.0,3250.0,3340.0,7500,3277.0,3197.8,,,,,,,,,,,7580.0,,,,106.5126050420168,51.18148892997664,50.896614127257244
2025-05-01,3195.0,3240.0,3175.0,3230.0,9400,3261.0,3220.6666666666665,,,,,,,,,,,8700.0,,,,68.94736842105263,46.96748798720852,48.34302521116416
2025-05-02,3165.0,3230.0,3150.0,3190.0,6200,3250.0,3218.3333333333335,,,,,,,,,,,8600.0,,,,82.21757322175732,45.04191927357483,47.1667984065885
2025-05-07,3250.0,3270.0,3150.0,3150.0,13000,3255.0,3225.6666666666665,,,,,,,,,,,8820.0,,,,131.4070351758794,51.39381573645001,50.818078071011094
2025-05-08,3295.0,3325.0,3220.0,3235.0,9200,3233.0,3237.3333333333335,3173.24,,3304.273821588179,3173.24,3042.2061784118205,3435.3076431763584,2911.172356823641,,,,9060.0,7864.0,,,140.95477386934675,54.524204446498146,52.682475339690185
2025-05-09,3470.0,3470.0,3295.0,3295.0,10900,3275.0,3260.0,3183.64,,3326.9240200441127,3183.64,3040.355979955887,3470.2080400882255,2897.0719599117742,,,,9740.0,8088.0,,95.3623188405797,160.30150753768845,64.52091662093713,59.16540658811375
2025-05-12,3555.0,3580.0,3145.0,3495.0,74300,3347.0,3288.0,3196.04,,3356.4840039390756,3196.04,3035.5959960609243,3516.9280078781508,2875.151992121849,,,,22720.0,10900.0,,167.1497584541063,342.964824120603,68.32560123519373,61.89616715299192
2025-05-13,3380.0,3595.0,3355.0,3595.0,13600,3390.0,3304.0,3204.64,,3368.906339826517,3204.64,3040.3736601734827,3533.1726796530347,2876.107320346965,,,,24200.0,11152.0,,144.32109308283518,244.5692883895131,54.73138045953988,53.90374952847555
2025-05-14,3310.0,3400.0,3260.0,3400.0,12000,3402.0,3304.0,3217.72,,3376.752706070171,3217.72,3058.6872939298287,3535.7854121403416,2899.654587859658,,,,24000.0,11140.0,,138.752052545156,220.60810810810813,50.23379561519157,51.063418410383235
2025-05-15,3275.0,3335.0,3275.0,3310.0,7000,3398.0,3305.0,3235.08,,3374.523729152659,3235.08,3095.6362708473407,3513.967458305319,2956.192541694681,,,,23560.0,10972.0,,145.06437768240343,192.29607250755288,48.0143889029821,49.65457112622692
2025-05-16,3325.0,3440.0,3240.0,3265.0,10900,3369.0,3307.0,3247.48,,3380.4341635301407,3247.48,3114.5258364698593,3513.388327060281,2981.571672939719,,,,23560.0,10972.0,,170.8452041785375,221.47435897435898,51.46095499303248,51.704538720920226
2025-05-19,3330.0,3350.0,3280.0,3285.0,5700,3324.0,3310.6666666666665,3266.6,,3373.030446771595,3266.6,3160.1695532284048,3479.46089354319,3053.7391064568096,,,,9840.0,10820.0,,165.90693257359922,258.3482944344704,51.820306945252185,51.91539072146821
