Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,945.0,946.0,943.0,943.0,1500,,,,,,,,,,,,,,,,,,,
2025-04-02,945.0,947.0,942.0,945.0,1600,,,,,,,,,,,,,,,,,,,
2025-04-03,922.0,926.0,918.0,920.0,6500,,,,,,,,,,,,,,,,,,,
2025-04-04,898.0,923.0,898.0,918.0,27500,,,,,,,,,,,,,,,,,,,
2025-04-07,785.0,843.0,763.0,763.0,32700,899.0,,,,,,,,,,,,13960.0,,,,,,
2025-04-08,827.0,836.0,808.0,828.0,6200,875.4,,,,,,,,,,,,14900.0,,,,,,
2025-04-09,793.0,819.0,792.0,819.0,6200,845.0,,,,,,,,,,,,15820.0,,,,,,
2025-04-10,841.0,849.0,825.0,825.0,5200,828.8,,,,,,,,,,,,15560.0,,,,,,
2025-04-11,840.0,841.0,811.0,830.0,3700,817.2,,,,,,,,,,,,10800.0,,,,,,
2025-04-14,850.0,858.0,842.0,842.0,3000,830.2,,,,,,,,,,,,4860.0,,,,,33.89830508474576,
2025-04-15,853.0,859.0,845.0,859.0,2400,835.4,,,,,,,,,,,,4100.0,,,,,34.64599916212819,
2025-04-16,851.0,855.0,846.0,853.0,1600,847.0,,,,,,,,,,,,3180.0,,,,,34.35455395160453,
2025-04-17,841.0,851.0,826.0,850.0,3400,847.0,,,,,,,,,,,,2820.0,,,,,32.80240960868649,
2025-04-18,882.0,888.0,857.0,867.0,98000,855.4,,,,,,,,,,,,21680.0,,,,140.29126213592232,44.39097005897426,
2025-04-21,884.0,890.0,859.0,882.0,3100,862.2,863.8,,,,,,,,,,,21700.0,,,,144.05339805825244,44.912319531003284,41.359773371104815
2025-04-22,886.0,892.0,884.0,892.0,1200,868.8,859.8666666666667,,,,,,,,,,,21460.0,,,,145.95588235294116,45.4872747696814,41.71539961013645
2025-04-23,883.0,898.0,870.0,888.0,7400,875.2,855.7333333333333,,,,,,,,,,,22620.0,,,,144.36363636363637,44.69999194772036,41.310696431223086
2025-04-24,884.0,884.0,876.0,880.0,1100,883.8,853.2,,,,,,,,,,,22160.0,,,,218.54545454545456,45.05659715319046,41.514378475731064
2025-04-25,884.0,889.0,879.0,889.0,2600,884.2,852.2666666666667,,,,,,,,,,,3080.0,,,,514.8305084745763,45.05659715319046,41.514378475731064
2025-04-28,879.0,887.0,872.0,887.0,2600,883.2,858.5333333333333,,,,,,,,,,,2980.0,,,,440.07633587786256,43.29004849036096,40.695388918807026
2025-04-30,875.0,877.0,875.0,877.0,2300,881.0,861.7333333333333,,,,,,,,,,,3200.0,,,,517.0403587443947,41.814555304363616,40.01527709886136
