Date,Close,High,Low,Open,Volume,sma5,sma15,sma25,sma50,upper1,middle,lower1,upper2,lower2,macd,macdsignal,macdhist,ema5volume,ema25volume,ema50volume,vr,vr14,rsi9,rsi14
2025-04-01,74.0,77.0,74.0,74.0,1259400,,,,,,,,,,,,,,,,,,,
2025-04-02,73.0,76.0,73.0,75.0,884300,,,,,,,,,,,,,,,,,,,
2025-04-03,71.0,79.0,68.0,70.0,6674600,,,,,,,,,,,,,,,,,,,
2025-04-04,67.0,71.0,62.0,68.0,4652200,,,,,,,,,,,,,,,,,,,
2025-04-07,58.0,64.0,58.0,59.0,2856800,68.6,,,,,,,,,,,,3265460.0,,,,,,
2025-04-08,65.0,67.0,61.0,61.0,1133400,66.8,,,,,,,,,,,,3240260.0,,,,,,
2025-04-09,61.0,64.0,59.0,63.0,2903000,64.4,,,,,,,,,,,,3644000.0,,,,,,
2025-04-10,65.0,68.0,65.0,66.0,1414100,63.2,,,,,,,,,,,,2591900.0,,,,,,
2025-04-11,67.0,67.0,63.0,63.0,907600,63.2,,,,,,,,,,,,1842980.0,,,,,,
2025-04-14,69.0,72.0,68.0,69.0,1616100,65.4,,,,,,,,,,,,1594840.0,,,,,42.857142857142854,
2025-04-15,67.0,69.0,67.0,68.0,523500,65.8,,,,,,,,,,,,1472860.0,,,,,40.26845637583892,
2025-04-16,66.0,69.0,66.0,66.0,1160100,66.8,,,,,,,,,,,,1124280.0,,,,,38.94523326572008,
2025-04-17,67.0,67.0,65.0,66.0,672800,67.2,,,,,,,,,,,,976020.0,,,,,41.121815247689376,
2025-04-18,69.0,70.0,66.0,66.0,1159100,67.6,,,,,,,,,,,,1026320.0,,,,35.12223663792007,45.49384881786389,
2025-04-21,70.0,71.0,68.0,69.0,913100,67.8,67.26666666666667,,,,,,,,,,,885720.0,,,,39.76799206288636,47.679222901747124,45.23809523809524
2025-04-22,69.0,70.0,68.0,68.0,1045100,68.2,66.93333333333334,,,,,,,,,,,990040.0,,,,39.44527713433559,45.621429892275394,44.10714285714286
2025-04-23,68.0,70.0,67.0,70.0,953500,68.6,66.6,,,,,,,,,,,948720.0,,,,55.45685459266932,43.50889869118668,42.95077581594436
2025-04-24,69.0,69.0,67.0,68.0,698700,69.0,66.46666666666667,,,,,,,,,,,953900.0,,,,90.18110569794536,46.306026466473995,44.51727174478646
2025-04-25,69.0,69.0,68.0,68.0,574900,69.0,66.6,,,,,,,,,,,837060.0,,,,128.07796119400814,46.306026466473995,44.51727174478645
2025-04-28,67.0,69.0,67.0,69.0,1208600,68.4,67.2,,,,,,,,,,,896160.0,,,,94.89806651198762,41.14871266007119,41.851690666680916
2025-04-30,67.0,68.0,66.0,67.0,678300,68.0,67.33333333333333,,,,,,,,,,,822800.0,,,,145.1426396491101,41.14871266007118,41.851690666680916
2025-05-01,67.0,68.0,66.0,68.0,380100,67.8,67.73333333333333,,,,,,,,,,,708120.0,,,,118.86306494143619,41.14871266007119,41.85169066668091
2025-05-02,66.0,67.0,66.0,66.0,369200,67.2,67.8,,,,,,,,,,,642220.0,,,,96.70542157274156,38.12575498723878,40.34314935219142
2025-05-07,67.0,67.0,66.0,67.0,355400,66.8,67.8,,,,,,,,,,,598320.0,,,,75.95879308500571,42.84911748385775,42.57235380290174
2025-05-08,66.0,67.0,66.0,67.0,515500,66.6,67.6,67.36,,70.55849964827267,67.36,64.16150035172733,73.75699929654533,60.96300070345467,,,,459700.0,1420376.0,,,76.05892579074424,39.46025623526464,40.9254518476536
2025-05-09,68.0,68.0,66.0,67.0,484200,66.8,67.66666666666667,67.12,,70.0226884090442,67.12,64.2173115909558,72.92537681808841,61.31462318191159,,,,420880.0,1389368.0,,41.40833487697985,103.89931853602388,48.60578215977685,45.4690298248388
