220,6845,山武
221,6849,日本光電工業
222,6856,堀場製作所
223,6857,アドバンテスト
224,6869,シスメックス
225,6923,スタンレー電気
226,6925,ウシオ電機
227,6952,カシオ計算機
228,6965,浜松ホトニクス
229,6976,太陽誘電
230,6986,双葉電子工業
231,6995,東海理化電機製作所
232,6996,ニチコン
233,7003,三井造船
234,7004,日立造船
235,7012,川崎重工業
236,7013,ＩＨＩ　
237,7202,いすゞ自動車
238,7205,日野自動車
239,7211,三菱自動車工業
240,7221,トヨタ車体
241,7230,日信工業
242,7240,ＮＯＫ
243,7251,ケーヒン
244,7259,アイシン精機
245,7261,マツダ
246,7262,ダイハツ工業
247,7270,富士重工業
248,7272,ヤマハ発動機
249,7276,小糸製作所
250,7278,エクセディ
251,7282,豊田合成
252,7309,シマノ
253,7312,タカタ
254,7453,良品計画
255,7459,メディパルホールディングス
256,7518,ネットワンシステムズ
257,7532,ドン・キホーテ
258,7550,ゼンショーホールディングス
259,7649,スギホールディングス
260,7701,島津製作所
261,7729,東京精密
262,7733,オリンパス
263,7735,大日本スクリーン製造
264,7762,シチズンホールディングス
265,7832,バンダイナムコホールディングス
266,7911,凸版印刷
267,7915,日本写真印刷
268,7936,アシックス
269,7951,ヤマハ
270,7966,リンテック
271,7984,コクヨ
272,7988,ニフコ
273,8012,長瀬産業
274,8015,豊田通商
275,8016,オンワードホールディングス
276,8028,ファミリーマート
277,8036,日立ハイテクノロジーズ
278,8060,キヤノンマーケティングジャパン
279,8078,阪和興業
280,8086,ニプロ
281,8113,ユニ・チャーム
282,8129,東邦ホールディングス
283,8130,サンゲツ
284,8136,サンリオ
285,8140,リョーサン
286,8184,島忠
287,8218,コメリ
288,8219,青山商事
289,8227,しまむら
290,8233,高島屋
291,8242,エイチ・ツー・オーリテイリング
292,8252,丸井グループ
293,8253,クレディセゾン
294,8270,ユニー
295,8273,イズミ
296,8282,ケーズホールディングス
297,8303,新生銀行
298,8304,あおぞら銀行
299,8324,第四銀行
300,8327,西日本シティ銀行
301,8328,札幌北洋ホールディングス
302,8331,千葉銀行
303,8333,常陽銀行
304,8334,群馬銀行
305,8336,武蔵野銀行
306,8341,七十七銀行
307,8354,ふくおかフィナンシャルグループ
308,8355,静岡銀行
309,8356,十六銀行
310,8358,スルガ銀行
311,8359,八十二銀行
312,8361,大垣共立銀行
313,8363,北國銀行
314,8366,滋賀銀行
315,8367,南都銀行
316,8368,百五銀行
317,8369,京都銀行
318,8377,ほくほくフィナンシャルグループ
319,8379,広島銀行
320,8381,山陰合同銀行
321,8382,中国銀行
322,8385,伊予銀行
323,8386,百十四銀行
324,8388,阿波銀行
325,8390,鹿児島銀行
326,8394,肥後銀行
327,8415,紀陽ホールディングス
328,8418,山口フィナンシャルグループ
329,8439,東京センチュリーリース
330,8473,ＳＢＩホールディングス
331,8522,名古屋銀行
332,8544,京葉銀行
333,8570,イオンクレジットサービス
334,8572,アコム
335,8574,プロミス
336,8586,日立キャピタル
337,8593,三菱ＵＦＪリース
338,8595,ジャフコ
339,8609,岡三証券グループ
340,8616,東海東京フィナンシャル・ホールディングス
341,8628,松井証券
342,8714,池田泉州ホールディングス
343,8729,ソニーフィナンシャルホールディングス
344,8804,東京建物
345,8815,東急不動産
346,8905,イオンモール
347,8933,エヌ・ティ・ティ都市開発
348,9001,東武鉄道
349,9003,相鉄ホールディングス
350,9005,東京急行電鉄
351,9006,京浜急行電鉄
352,9007,小田急電鉄
353,9008,京王電鉄
354,9009,京成電鉄
355,9031,西日本鉄道
356,9041,近畿日本鉄道
357,9042,阪急阪神ホールディングス
358,9044,南海電気鉄道
359,9045,京阪電気鉄道
360,9048,名古屋鉄道
361,9062,日本通運
362,9064,ヤマトホールディングス
363,9065,山九
364,9075,福山通運
365,9076,セイノーホールディングス
366,9101,日本郵船
367,9104,商船三井
368,9107,川崎汽船
369,9301,三菱倉庫
370,9303,住友倉庫
371,9364,上組
372,9401,東京放送ホールディングス
373,9404,日本テレビ放送網
374,9409,テレビ朝日
375,9435,光通信
376,9504,中国電力
377,9505,北陸電力
378,9507,四国電力
379,9509,北海道電力
380,9511,沖縄電力
381,9513,電源開発
382,9532,大阪瓦斯
383,9533,東邦瓦斯
384,9601,松竹
385,9602,東宝
386,9613,エヌ・ティ・ティ・データ
387,9684,スクウェア・エニックス・ホールディングス
388,9697,カプコン
389,9706,日本空港ビルデング
390,9744,メイテック
391,9747,アサツーディ・ケイ
392,9766,コナミ
393,9783,ベネッセホールディングス
394,9793,ダイセキ
395,9832,オートバックスセブン
396,9843,ニトリホールディングス
397,9861,吉野家ホールディングス
398,9962,ミスミグループ本社
399,9987,スズケン
400,9989,サンドラッグ
